Title,Headline,Description,Chronicle Type,Author,Type,Date,URL,Publication,Highlight,Pull Quote Long,Pull Quote Short,Video Link,Events Database,Date_Format,Airtable Event Record ID,mw_Press_Headline,mw_Press_Description,mw_Press_Pull_Quote_Long,mw_Press_Pull_Quote_Short,my_Press_Author,mw_Press_Type,mw_Press_Date,mw_Press_URL,mw_Press_Publication,mw_Press_Video_Link,mw_Press_Event_Name,mw_Press_Airtable_Event_Record_ID,mw_Press_Highlight,Event Name Format (from Events Database),Autonumber
Press:11,Playback: Zorch Paaarties,"Zorch for hire, Ancient VVisdom on loan to Satan, and Charlie Faye updates her relationship status",MUSIC COLUMN,Kevin Curtin,Article,2013-07-26,https://www.austinchronicle.com/music/2013-07-26/playback-zorch-paaarties/,Austin Chronicle,checked,"The concept behind the Museum of Human Achievement is about getting around this culture that's on information and invite overload all the time to create something that feels important,"" says Traeger","The concept behind the Museum of Human Achievement is about getting around this culture that's on information and invite overload all the time to create something that feels important,"" says Traeger
",,,2013-07-26,,Playback: Zorch Paaarties,"Zorch for hire, Ancient VVisdom on loan to Satan, and Charlie Faye updates her relationship status","The concept behind the Museum of Human Achievement is about getting around this culture that's on information and invite overload all the time to create something that feels important,"" says Traeger","The concept behind the Museum of Human Achievement is about getting around this culture that's on information and invite overload all the time to create something that feels important,"" says Traeger
",Kevin Curtin,Article,2013-07-25,https://www.austinchronicle.com/music/2013-07-26/playback-zorch-paaarties/,Austin Chronicle,,,,1,,11
Press:12,Club-by-club music shows: Aug. 2-8,"The Museum of Human Achievement: Zorch. The Music Ranch: Neon Forest. NeWorlDeli: Juliana Murphy. The North Door: The Hex Dispensers, Crooked ",,,Listing,2013-08-01,https://www.statesman.com/story/entertainment/music/2013/08/01/club-by-club-music-shows-aug-2-8/10226304007/,Statesmen,,,,,,2013-08-01,,Club-by-club music shows: Aug. 2-8,"The Museum of Human Achievement: Zorch. The Music Ranch: Neon Forest. NeWorlDeli: Juliana Murphy. The North Door: The Hex Dispensers, Crooked ",,,,Listing,2013-07-31,https://www.statesman.com/story/entertainment/music/2013/08/01/club-by-club-music-shows-aug-2-8/10226304007/,Statesmen,,,,,,12
Press:13,Hard Proof Afrobeat: Honoring Its Moniker,Local horns rile the Continental Club Thursdays in August,MUSIC POST,Andy Bianculli,Article,2013-08-07,https://www.austinchronicle.com/daily/music/2013-08-07/hard-proof-afrobeat-honoring-its-moniker/,Austin Chronicle,,"AC: Any plans to get back into the studio?

SB: We’re making a single with Jim Eno at Public HI-FI, and we’re going to attempt to do that entirely live and completely analog from top to bottom. And we will be releasing it as a 12-inch 45 rpm single and we’ll hopefully track that in October. Also, we’re talking about doing a recording collaboration with Zorch, which runs a venue on the East Side called the Museum of Human Achievement.

AC: I heard about that place. It used to be an old sex shop or factory or something.

SB: I haven’t heard that, but it makes the name Museum of Human Achievement that much more brilliant. Hopefully we will do that in the winter. We’re getting prolific again with the writing, so hopefully we will have an album to track by next spring.",,,,2013-08-07,,Hard Proof Afrobeat: Honoring Its Moniker,Local horns rile the Continental Club Thursdays in August,"AC: Any plans to get back into the studio?

SB: We’re making a single with Jim Eno at Public HI-FI, and we’re going to attempt to do that entirely live and completely analog from top to bottom. And we will be releasing it as a 12-inch 45 rpm single and we’ll hopefully track that in October. Also, we’re talking about doing a recording collaboration with Zorch, which runs a venue on the East Side called the Museum of Human Achievement.

AC: I heard about that place. It used to be an old sex shop or factory or something.

SB: I haven’t heard that, but it makes the name Museum of Human Achievement that much more brilliant. Hopefully we will do that in the winter. We’re getting prolific again with the writing, so hopefully we will have an album to track by next spring.",,Andy Bianculli,Article,2013-08-06,https://www.austinchronicle.com/daily/music/2013-08-07/hard-proof-afrobeat-honoring-its-moniker/,Austin Chronicle,,,,,,13
Press:14,"Music listings, Aug. 9-15","Museum of Human Achievement: Caddywhompus, FM Campers, Boyfrndz, All People. NeWorlDeli: Walter Ehresman. Nutty Brown Cafe: Mother Merey and ",,,Listing,2013-08-08,https://www.austin360.com/story/entertainment/music/2013/08/08/music-listings-aug-9-15/10223672007/,Statesmen,,,,,,2013-08-08,,"Music listings, Aug. 9-15","Museum of Human Achievement: Caddywhompus, FM Campers, Boyfrndz, All People. NeWorlDeli: Walter Ehresman. Nutty Brown Cafe: Mother Merey and ",,,,Listing,2013-08-07,https://www.austin360.com/story/entertainment/music/2013/08/08/music-listings-aug-9-15/10223672007/,Statesmen,,,,,,14
Press:15,Austin360 music listings: Dec. 20-16,"Museum of Human Achievement: Weird Weeds, Plutonium Farmers. NeWorlDeli: Danny Britt. The Nook Amphitheater: Public Disturbance. Nutty Brown ",,,Listing,2013-12-19,https://www.austin360.com/story/entertainment/music/2013/12/19/austin360-music-listings-dec-20-16/10230125007/,Statesmen,,,,,,2013-12-19,,Austin360 music listings: Dec. 20-16,"Museum of Human Achievement: Weird Weeds, Plutonium Farmers. NeWorlDeli: Danny Britt. The Nook Amphitheater: Public Disturbance. Nutty Brown ",,,,Listing,2013-12-18,https://www.austin360.com/story/entertainment/music/2013/12/19/austin360-music-listings-dec-20-16/10230125007/,Statesmen,,,,,,15
Press:16,Playback,Christmas wishes for the local set,MUSIC COLUMN,Kevin Curtin,Article,2013-12-20,https://www.austinchronicle.com/music/2013-12-20/playback/,Austin Chronicle,,"Afterward, Coyne headed to the Museum of Human Achievement to visit Zac Traeger of kindred locals Zorch.",,,,2013-12-20,,Playback,Christmas wishes for the local set,"Afterward, Coyne headed to the Museum of Human Achievement to visit Zac Traeger of kindred locals Zorch.",,Kevin Curtin,Article,2013-12-19,https://www.austinchronicle.com/music/2013-12-20/playback/,Austin Chronicle,,,,,,16
Press:17,Playback: 2013 – That's a Wrap,Twelve months of boom recapped,MUSIC COLUMN,Kevin Curtin,Article,2013-12-27,https://www.austinchronicle.com/music/2013-12-27/playback-2013-thats-a-wrap/,Austin Chronicle,checked,"10 Best Austin Artists of 2013 - ""one of the underground scene's most popular off-the-grid venues, the Museum of Human Achievement.""","One of the underground scene's most popular off-the-grid venues, the Museum of Human Achievement.",,,2013-12-27,,Playback: 2013 – That's a Wrap,Twelve months of boom recapped,"10 Best Austin Artists of 2013 - ""one of the underground scene's most popular off-the-grid venues, the Museum of Human Achievement.""","One of the underground scene's most popular off-the-grid venues, the Museum of Human Achievement.",Kevin Curtin,Article,2013-12-26,https://www.austinchronicle.com/music/2013-12-27/playback-2013-thats-a-wrap/,Austin Chronicle,,,,1,,17
Press:18,Austin360 music listings: Jan. 3-9,"Museum of Human Achievement: Wiretree. NeWorlDeli: Juliana Murphy. The North Door: Horse + Donkey, Depalma, Young Girls, At Night. One-2-One ",,,Listing,2014-01-03,https://www.austin360.com/story/entertainment/local/2014/01/03/austin360-music-listings-jan-3-9/10183305007/,Statesmen,,,,,,2014-01-03,,Austin360 music listings: Jan. 3-9,"Museum of Human Achievement: Wiretree. NeWorlDeli: Juliana Murphy. The North Door: Horse + Donkey, Depalma, Young Girls, At Night. One-2-One ",,,,Listing,2014-01-02,https://www.austin360.com/story/entertainment/local/2014/01/03/austin360-music-listings-jan-3-9/10183305007/,Statesmen,,,,,,18
Press:19,Change of Venue,"This year, FronteraFest is takin' it to the streets – and a chapel, a bookstore, a home ...",ARTS FEATURE,Robert Faires,Listing,2014-01-10,https://www.austinchronicle.com/arts/2014-01-10/change-of-venue/,Austin Chronicle,,"The Relentless Pursuit of Ice
Punchkin Repertory Theatre mounts this new work by FronteraFest mainstay Max Langert in which a couple is struggling to survive in a post-apocalyptic future where the sun is getting increasingly hotter. Their efforts are complicated by a surprise package and a dark stranger. Friday, Jan. 24; Sunday, Jan. 25; Friday, Jan. 31; and Saturday, Feb. 1 at the Museum of Human Achievement. All shows start at 8pm. $13. Running time: 1 hr., 30 min.",,,,2014-01-10,,Change of Venue,"This year, FronteraFest is takin' it to the streets – and a chapel, a bookstore, a home ...","The Relentless Pursuit of Ice
Punchkin Repertory Theatre mounts this new work by FronteraFest mainstay Max Langert in which a couple is struggling to survive in a post-apocalyptic future where the sun is getting increasingly hotter. Their efforts are complicated by a surprise package and a dark stranger. Friday, Jan. 24; Sunday, Jan. 25; Friday, Jan. 31; and Saturday, Feb. 1 at the Museum of Human Achievement. All shows start at 8pm. $13. Running time: 1 hr., 30 min.",,Robert Faires,Listing,2014-01-09,https://www.austinchronicle.com/arts/2014-01-10/change-of-venue/,Austin Chronicle,,,,,,19
Press:20,"Austin360 music shows, Feb. 21-27","The Museum of Human Achievement: No Idea Music Festival. NeWorlDeli: Mark Viator, Susan Maxey. The Nook Amphitheater: Bruce 3 & the Revenge.",,,Listing,2014-02-20,https://www.austin360.com/story/entertainment/local/2014/02/20/austin360-music-shows-feb-21-27/10192099007/,Statesmen,,,,,,2014-02-20,,"Austin360 music shows, Feb. 21-27","The Museum of Human Achievement: No Idea Music Festival. NeWorlDeli: Mark Viator, Susan Maxey. The Nook Amphitheater: Bruce 3 & the Revenge.",,,,Listing,2014-02-19,https://www.austin360.com/story/entertainment/local/2014/02/20/austin360-music-shows-feb-21-27/10192099007/,Statesmen,,,,,,20
Press:21,Playback,SXSW begins giving up her secrets.,MUSIC COLUMN,Kevin Curtin,Article,2014-02-21,https://www.austinchronicle.com/music/2014-02-21/playback/,Austin Chronicle,,"Annual improvisational music summit No Idea Fest – think avant-garde, not jam band – kicks off tonight, Thursday, in an empty storefront at 2400 Cesar Chavez St., 8pm, featuring four sets of collaborations assembled by longtime experimentalist and organizer Chris Cogburn. The festivities, primarily featuring musicians from Texas and Mexico, continue Friday and Saturday at underground art hot spot Museum of Human Achievement, 8pm, and also include a daytime lecture from Mexican experimental music expert Carlos Prieto at Mexic-Arte Museum on Friday.",,,,2014-02-21,,Playback,SXSW begins giving up her secrets.,"Annual improvisational music summit No Idea Fest – think avant-garde, not jam band – kicks off tonight, Thursday, in an empty storefront at 2400 Cesar Chavez St., 8pm, featuring four sets of collaborations assembled by longtime experimentalist and organizer Chris Cogburn. The festivities, primarily featuring musicians from Texas and Mexico, continue Friday and Saturday at underground art hot spot Museum of Human Achievement, 8pm, and also include a daytime lecture from Mexican experimental music expert Carlos Prieto at Mexic-Arte Museum on Friday.",,Kevin Curtin,Article,2014-02-20,https://www.austinchronicle.com/music/2014-02-21/playback/,Austin Chronicle,,,,,,21
Press:22,SXSW Thursday Picks & Sleepers,S.H.I.T. – So Happy It's Thursday blurbs,MUSIC FEATURE,,Article,2014-03-14,https://www.austinchronicle.com/music/2014-03-14/thursday-sxsw-music-preview-guide-sxsw-thursday-picks-and-sleepers/,Austin Chronicle,,"12:20am, Half Step The same guy who can pull Black Thought in for a verse – ""Codes & Cab Fare,"" off last fall's No Poison No Paradise – is just as likely to show up in Austin undercover and spin a set at the Museum of Human Achievement. Once hailed as the next J Dilla, Detroit producer Black Milk has evolved into a most creative and prolific creator: a beatmaker, rapper, and free-form DJ whose quest for innovation has helped yield 11 albums in the past nine years.",,,,2014-03-14,,SXSW Thursday Picks & Sleepers,S.H.I.T. – So Happy It's Thursday blurbs,"12:20am, Half Step The same guy who can pull Black Thought in for a verse – ""Codes & Cab Fare,"" off last fall's No Poison No Paradise – is just as likely to show up in Austin undercover and spin a set at the Museum of Human Achievement. Once hailed as the next J Dilla, Detroit producer Black Milk has evolved into a most creative and prolific creator: a beatmaker, rapper, and free-form DJ whose quest for innovation has helped yield 11 albums in the past nine years.",,,Article,2014-03-13,https://www.austinchronicle.com/music/2014-03-14/thursday-sxsw-music-preview-guide-sxsw-thursday-picks-and-sleepers/,Austin Chronicle,,,,,,22
Press:23,"Gay Place: Cheer Up, Goth",Austin's gay summer is off to a bright and sunny start: It's World Goth Day,COLUMN,,Listing,2014-05-16,https://www.austinchronicle.com/columns/2014-05-16/gay-place-cheer-up-goth/,Austin Chronicle,,"c.l.i.t. Fest D.I.Y. and P. U.N.K. Hey ladieeeez! Fri.-Sun., May 16-18, various times. Cheer Up Charlie's, Museum of Human Achievement, & Hotel Vegas. www.fb.com/austincf2014.",,,,2014-05-16,,"Gay Place: Cheer Up, Goth",Austin's gay summer is off to a bright and sunny start: It's World Goth Day,"c.l.i.t. Fest D.I.Y. and P. U.N.K. Hey ladieeeez! Fri.-Sun., May 16-18, various times. Cheer Up Charlie's, Museum of Human Achievement, & Hotel Vegas. www.fb.com/austincf2014.",,,Listing,2014-05-15,https://www.austinchronicle.com/columns/2014-05-16/gay-place-cheer-up-goth/,Austin Chronicle,,,,,,23
Press:24,Judas Priest Pounds Fun Fun Fun Fest 2014,Some heads are gonna roll,MUSIC POST,Chase Hoffberger,Article,2014-05-19,https://www.austinchronicle.com/daily/music/2014-05-19/judas-priest-pounds-fun-fun-fun-fest-2014/,Austin Chronicle,,"Filling out the Blue Stage, Transmission’s tapped FFFF vets Flying Lotus and Z-Trip, SXSW highlight Gary Numan, and the recently dormant Girl Talk, back after a four-year recording hiatus. The Digital Wild and Zorch, the avant-electro duo responsible for running East Austin’s Museum of Human Achievement, represent the only Blue locals on the list. Find Austin Francophiles Crooked Bangs on the Black Stage instead. Speaking of which....
",,,,2014-05-19,,Judas Priest Pounds Fun Fun Fun Fest 2014,Some heads are gonna roll,"Filling out the Blue Stage, Transmission’s tapped FFFF vets Flying Lotus and Z-Trip, SXSW highlight Gary Numan, and the recently dormant Girl Talk, back after a four-year recording hiatus. The Digital Wild and Zorch, the avant-electro duo responsible for running East Austin’s Museum of Human Achievement, represent the only Blue locals on the list. Find Austin Francophiles Crooked Bangs on the Black Stage instead. Speaking of which....
",,Chase Hoffberger,Article,2014-05-18,https://www.austinchronicle.com/daily/music/2014-05-19/judas-priest-pounds-fun-fun-fun-fest-2014/,Austin Chronicle,,,,,,24
Press:25,"Austin360 music shows, May 23-29","Legendary White Swan: The Ortiz Bros. Maria's Taco Xpress: Matt McCormack. The Museum of Human Achievement: Ingrid Laubrock, Tom Rainey Duo.",,,Listing,2014-05-22,https://www.austin360.com/story/entertainment/local/2014/05/22/austin360-music-shows-may-23-29/10214195007/,Statesmen,,,,,,2014-05-22,,"Austin360 music shows, May 23-29","Legendary White Swan: The Ortiz Bros. Maria's Taco Xpress: Matt McCormack. The Museum of Human Achievement: Ingrid Laubrock, Tom Rainey Duo.",,,,Listing,2014-05-21,https://www.austin360.com/story/entertainment/local/2014/05/22/austin360-music-shows-may-23-29/10214195007/,Statesmen,,,,,,25
Press:26,Playback: SXSW Survey a Snooze,City's post-SXSW survey succumbs to poor planning,MUSIC COLUMN,Kevin Curtin,Listing,2014-06-06,https://www.austinchronicle.com/music/2014-06-06/playback-sxsw-survey-a-snooze/,Austin Chronicle,,"Percussionist, craftsman, and social commentator Thor Harris provides ""sonic accompaniment"" for a yoga session on Saturday, 11am, at secretive Eastside art space Museum of Human Achievement. Hear the drummer's skills on new Swans LP To Be Kind, which arrived in critical favor last month",,,,2014-06-06,,Playback: SXSW Survey a Snooze,City's post-SXSW survey succumbs to poor planning,"Percussionist, craftsman, and social commentator Thor Harris provides ""sonic accompaniment"" for a yoga session on Saturday, 11am, at secretive Eastside art space Museum of Human Achievement. Hear the drummer's skills on new Swans LP To Be Kind, which arrived in critical favor last month",,Kevin Curtin,Listing,2014-06-05,https://www.austinchronicle.com/music/2014-06-06/playback-sxsw-survey-a-snooze/,Austin Chronicle,,,,,,26
Press:27,AIR Swap: Museum of Human Achievement Trades Austinites for ,AIR Swap: Museum of Human Achievement Trades Austinites for,,,Article,2014-08-16,https://glasstire.com/2014/08/16/air-swap-museum-of-human-achievement-trades-austinites-for-brooklyners/,Glasstire,,It seems like a good fit: the two organizations share similar structure and ideology: The Museum of Human Achievement is a... space dedicated to “facilitating emotional reactions and new experiences” as well as offering affordable studio spaces.,,,,2014-08-16,,AIR Swap: Museum of Human Achievement Trades Austinites for ,AIR Swap: Museum of Human Achievement Trades Austinites for,It seems like a good fit: the two organizations share similar structure and ideology: The Museum of Human Achievement is a... space dedicated to “facilitating emotional reactions and new experiences” as well as offering affordable studio spaces.,,,Article,2014-08-15,https://glasstire.com/2014/08/16/air-swap-museum-of-human-achievement-trades-austinites-for-brooklyners/,Glasstire,,,,,,27
Press:28,Playback,Stop complaining there's no hip-hop scene here because now it has its own festival,MUSIC COLUMN,Kevin Curtin,Article,2014-09-26,https://www.austinchronicle.com/music/2014-09-26/playback/,Austin Chronicle,,"Former Skinny's Ballroom owner Brad Marcum has become a reliable shutterbug, directing his lens at underground bands. His photography will be included in ""Frameworks: Photos From the Austin Music Community,"" an exhibit featuring recent prints from Steven Ruud, Tammy Perez, Trent Maxwell, Steven Anderson, and Jon Chamberlain. The show develops Saturday, 7pm, at the mysterious Museum of Human Achievement. Empty Markets, the Baffles, and the Same perform.",,,Frameworks: Photographs from the Austin Music Community,2014-09-26,recWxnTUzyq9omj4A,Playback,Stop complaining there's no hip-hop scene here because now it has its own festival,"Former Skinny's Ballroom owner Brad Marcum has become a reliable shutterbug, directing his lens at underground bands. His photography will be included in ""Frameworks: Photos From the Austin Music Community,"" an exhibit featuring recent prints from Steven Ruud, Tammy Perez, Trent Maxwell, Steven Anderson, and Jon Chamberlain. The show develops Saturday, 7pm, at the mysterious Museum of Human Achievement. Empty Markets, the Baffles, and the Same perform.",,Kevin Curtin,Article,2014-09-25,https://www.austinchronicle.com/music/2014-09-26/playback/,Austin Chronicle,,Frameworks: Photographs from the Austin Music Community,recWxnTUzyq9omj4A,,Frameworks: Photographs from the Austin Music Community,28
Press:29,Touring the Tour,"A very meta experience, guided by Heather Pesanti, senior curator of the Contemporary Austin",ARTS FEATURE,Seth Orion Schwaiger,Article,2014-11-21,https://www.austinchronicle.com/arts/2014-11-21/touring-the-tour/,Austin Chronicle,,"Thomas took the group to the psuedo-secret Museum of Human Achievement, whose mock IKEA exhibition showcases hundreds of works from a large selection of artists. Thomas created a ""dinning room set"" for the show, complete with a life-sized, jewel-covered panther sculpture lounging atop the table.",,,AHoM,2014-11-21,reckjKAFns4Ozd7tW,Touring the Tour,"A very meta experience, guided by Heather Pesanti, senior curator of the Contemporary Austin","Thomas took the group to the psuedo-secret Museum of Human Achievement, whose mock IKEA exhibition showcases hundreds of works from a large selection of artists. Thomas created a ""dinning room set"" for the show, complete with a life-sized, jewel-covered panther sculpture lounging atop the table.",,Seth Orion Schwaiger,Article,2014-11-20,https://www.austinchronicle.com/arts/2014-11-21/touring-the-tour/,Austin Chronicle,,AHoM,reckjKAFns4Ozd7tW,,AHoM,29
